Timestamp,Motion_WorldPositionZ,Motion_WorldPositionY,Motion_WorldPositionX,TotalLapDistance,Steer,Speed,LapDistance,Gear,EngineTemp,EngineRPM,Brake,DriverStatus,LapNumber,LapValidity,PitStatus,Sector,streamId,eventId
1687180954188117300,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3511,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180954246080300,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3501,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180954305586800,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3490,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180954496936600,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3487,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180954556949400,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3498,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180954612359600,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3508,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180954673353800,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3516,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180954716508000,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3519,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180954775888700,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3516,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180954833602900,-39.90142059326172,91.49635314941406,-348.535400390625,-3646.724853515625,-0,0,-3646.724853515625,0,90,3508,0,In_garage,1,Valid,Pitting,0,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
